	RADIUS|	PREDICATE|	# ALPHA-SHAPE - average,	 min,	 max|# ALPHA-SHAPE - AS / r^(2/3) - average,
5	32	1.024	178.92	178	180
6	64	4.096	272.87	272	278
7	128	16.384	472.16	470	474
8	256	65.536	774.35	771	780
9	512	262.144	1301	1295	1312
10	1024	1048.58	2141.6	2120	2164
11	2048	4194.3	3542.4	3524	3586
12	4096	16777.2	5681.15	5645	5742
13	8192	67108.9	9246.67	9192	9293
14	16384	268435	14862.7	14784	14912
15	32768	1.07374e+06	23834.4	23785	23921
16	65536	4.29497e+06	38388.1	38284	38654
17	131072	1.71799e+07	61695.6	61508	62134
18	262144	6.87195e+07	98940.7	98532	99298
19	524288	2.74878e+08	158761	158223	159092
20	1048576	1.09951e+09	253818	253223	254500
21	2097152	4.39805e+09	405642	404916	406211
22	4194304	1.75922e+10	648670	647765	650648
23	8388608	7.03687e+10	1.03506e+06	1033468	1037468
24	16777216	2.81475e+11	1.65193e+06	1650116	1654201
25	33554432	1.1259e+12	2.63294e+06	2629976	2636837
26	67108864	6710886,4	 		
27	134217728	13421772,8			
28	268435456	26843545,6			

