5	32	35.36	30	39	102.05	90	120
6	64	55.78	51	62	170.16	152	188
7	128	87.78	82	93	283.69	255	318
8	256	139.71	132	148	465.06	421	504
9	512	222.07	210	238	761.01	702	842
10	1024	351.72	336	370	1.24E+003	1142	1366
11	2048	558.18	536	574	2.01E+003	1859	2216
12	4096	883.86	856	908	3.24E+003	3027	3478
13	8192	1.40E+003	1362	1440	5.25E+003	4896	5710
14	16384	2.23E+003	2194	2262	8.41E+003	8120	8806
15	32768	3.54E+003	3475	3608	1.35E+004	12971	14344
16	65536	5.62E+003	5557	5673	2.16E+004	21050	22600
17	131072	8.91E+003	8824	8999	3.47E+004	33777	35561
18	262144	1.41E+004	14056	14248	5.54E+004	54112	56792
19	524288	2.25E+004	22358	22584	8.87E+004	86737	90523
20	1048576	3.56E+004	35422	35842	1.42E+005	138412	146066
21	2097152	5.66E+004	56392	56763	2.26E+005	223249	231030
22	4194304	8.98E+004	89573	90064	3.61E+005	352193	366138
23	8388608	1.43E+005	142277	143008	5.76E+005	565937	587836
24	16777216	2.26E+005	225958	226982	9.19E+005	908338	928472
25	33554432	3.59E+005	358836	359692	1.46E+006	1441764	1482494
26	67108864	5.70E+005	569210	570458	2.33E+006	2303461	2362385
27	134217728	8.98E+005	896899	898713	3.74E+006		
28	268435456	1.35E+006	1349311	1351319	6.62E+006		

