5	32	0.64	1.05	1.98\\
6	64	1.18	1.87	3.77\\
7	128	2.33	3.3	7.08\\
8	256	4.64	5.86	13.02\\
9	512	9.25	10.29	23.99\\
10	1024	32.5	17.9	43.34\\
11	2048	37.03	31.13	78.05\\
12	4096	74.55	53.75	139.12\\
13	8192	149.03	92.57	247.36\\
14	16384	297.79	159.44	433.88\\
15	32768	596.22	272.74	760.20\\
16	65536	1.19E+03	466.51	1.32E+03\\
17	131072	2.37E+03	795.09	2.30E+03\\
18	262144	4.73E+03	1.35E+03	3.99E+03\\
19	524288	9.47E+03	2.29E+03	6.88E+03\\
20	1048576	1.89E+04	3.88E+03	1.18E+04\\
21	2097152	3.79E+04	6.58E+03	2.02E+04\\
22	4194304	7.58E+04	1.11E+04	3.45E+04\\
23	8388608	1.52E+05	1.86E+04	5.88E+04\\
24	16777216	3.03E+05	3.13E+04	1.00E+05\\
25	33554432	6.04E+05	5.26E+04	1.70E+05\\
26	67108864	1.20E+06	8.80E+04	2.87E+05\\
27	134217728	2.42E+06	1.46E+05	4.82E+05\\
28	268435456		2.33E+05	8.85E+05\\
