Radius	predicate	time	# Vertices
2	-0.5	23	8
3	-0.333333	25	8
4	-0.25	39	12
5	-0.2	36	20
6	-0.166667	44	24
7	-0.142857	43	28
8	-0.125	66	28
9	-0.111111	47	40
10	-0.1	73	40
11	-0.0909091	75	44
12	-0.0833333	73	48
13	-0.0769231	106	48
14	-0.0714286	88	52
15	-0.0666667	88	52
16	-0.0625	87	56
17	-0.0588235	146	56
18	-0.0555556	136	60
19	-0.0526316	97	72
20	-0.05	84	72
21	-0.047619	85	76
22	-0.0454545	166	76
23	-0.0434783	147	80
24	-0.0416667	110	84
25	-0.04	85	92
26	-0.0384615	143	96
27	-0.037037	166	96
28	-0.0357143	149	100
29	-0.0344828	151	100
30	-0.0333333	170	104
31	-0.0322581	196	108
32	-0.03125	201	116
33	-0.030303	173	112
34	-0.0294118	227	104
35	-0.0285714	162	116
36	-0.0277778	169	120
37	-0.027027	201	128
38	-0.0263158	184	132
39	-0.025641	250	124
40	-0.025	202	136
41	-0.0243902	178	140
42	-0.0238095	197	140
43	-0.0232558	204	128
44	-0.0227273	262	128
45	-0.0222222	195	140
46	-0.0217391	265	132
47	-0.0212766	281	136
48	-0.0208333	238	140
49	-0.0204082	248	140
50	-0.02	199	160
51	-0.0196078	290	144
52	-0.0192308	250	156
53	-0.0188679	233	168
54	-0.0185185	254	160
55	-0.0181818	199	172
56	-0.0178571	265	156
57	-0.0175439	289	168
58	-0.0172414	268	176
59	-0.0169492	264	180
60	-0.0166667	298	184
61	-0.0163934	247	176
62	-0.016129	271	188
63	-0.015873	290	188
64	-0.015625	340	184
65	-0.0153846	221	204
66	-0.0151515	270	196
67	-0.0149254	268	208
68	-0.0147059	412	200
69	-0.0144928	338	204
70	-0.0142857	287	216
71	-0.0140845	290	208
72	-0.0138889	296	220
73	-0.0136986	318	212
74	-0.0135135	327	224
75	-0.0133333	380	224
76	-0.0131579	323	228
77	-0.012987	381	232
78	-0.0128205	363	232
79	-0.0126582	295	236
80	-0.0125	327	236
